Date,Open,High,Low,Close,Adj Close,Volume
2017-03-22,78.300003,78.940002,77.839996,78.830002,76.321388,3026800
2017-03-23,78.570000,79.190002,78.430000,78.480003,75.982529,2211800
2017-03-24,78.419998,78.669998,77.120003,77.269997,74.811028,2359700
2017-03-27,76.970001,77.790001,76.660004,77.250000,74.791672,2089300
2017-03-28,77.410004,78.110001,77.080002,77.919998,75.440346,2388500
2017-03-29,77.809998,78.500000,77.540001,78.320000,75.827621,2282000
2017-03-30,78.379997,78.849998,77.940002,78.589996,76.089020,3241500
2017-03-31,78.489998,79.430000,78.410004,79.220001,76.698967,2744100
2017-04-03,79.089996,79.220001,78.000000,78.290001,75.798569,1711600
2017-04-04,78.500000,78.550003,77.669998,78.430000,75.934120,1368100
2017-04-05,78.739998,79.480003,77.529999,77.570000,75.101486,2867200
2017-04-06,77.589996,77.650002,76.650002,76.879997,74.433441,3322400
2017-04-07,76.959999,77.660004,76.529999,77.150002,74.694855,2484300
2017-04-10,77.510002,78.650002,77.500000,78.050003,75.566208,2503900
2017-04-11,77.809998,77.970001,77.150002,77.879997,75.401619,2042900
2017-04-12,78.129997,78.260002,77.260002,77.379997,74.917526,2006100
2017-04-13,77.260002,77.690002,76.459999,76.669998,74.230125,2606600
2017-04-17,76.660004,77.010002,76.570000,77.010002,74.559303,1548800
2017-04-18,76.650002,76.989998,75.639999,75.930000,73.513680,2326300
2017-04-19,75.940002,76.150002,75.139999,75.330002,72.932770,2511300
2017-04-20,75.500000,76.370003,75.330002,75.750000,73.339401,1682300
2017-04-21,75.599998,76.589996,75.599998,76.349998,73.920303,2561100
2017-04-24,77.120003,77.589996,76.739998,77.510002,75.043388,2483300
2017-04-25,77.599998,78.180000,77.250000,78.080002,75.595261,2632800
2017-04-26,77.930000,78.889999,77.660004,78.110001,75.624298,2977500
2017-04-27,78.010002,78.129997,76.930000,78.050003,75.566208,3001200
2017-04-28,79.599998,80.940002,79.070000,79.559998,77.028152,5252400
2017-05-01,79.519997,80.349998,79.320000,79.559998,77.028152,2632700
2017-05-02,79.930000,80.070000,79.059998,79.260002,76.737701,2202900
2017-05-03,78.910004,79.750000,78.739998,79.589996,77.057190,1946200
2017-05-04,79.300003,79.300003,78.000000,78.239998,75.750160,2163800
2017-05-05,78.330002,79.430000,78.320000,79.349998,76.824837,1764000
